method,seed,eval_index,generation,fitness,best_so_far,n_nodes
random_search,6,384,7,22.099999999999998,17.3295630140987,21
random_search,6,385,7,22.208607914449797,17.3295630140987,21
random_search,6,386,7,20.897999199359358,17.3295630140987,21
random_search,6,387,7,20.049444375840398,17.3295630140987,21
random_search,6,388,7,19.560107523773826,17.3295630140987,21
random_search,6,389,7,21.37581763205193,17.3295630140987,21
random_search,6,390,7,19.423538406167136,17.3295630140987,21
random_search,6,391,7,21.22029410174709,17.3295630140987,21
random_search,6,392,7,20.302172886644268,17.3295630140987,21
random_search,6,393,7,21.07907545067406,17.3295630140987,21
random_search,6,394,7,20.16794833886788,17.3295630140987,21
random_search,6,395,7,22.286335345031,17.3295630140987,21
random_search,6,396,7,19.781934729198174,17.3295630140987,21
random_search,6,397,7,22.457066051117284,17.3295630140987,21
random_search,6,398,7,19.408304597359457,17.3295630140987,21
random_search,6,399,7,19.51657508881031,17.3295630140987,21
random_search,6,400,8,22.606404996924923,17.3295630140987,21
random_search,6,401,8,20.995451410656816,17.3295630140987,21
random_search,6,402,8,21.609975124224178,17.3295630140987,21
random_search,6,403,8,20.260681686165903,17.3295630140987,21
random_search,6,404,8,21.58679622641132,17.3295630140987,21
random_search,6,405,8,21.316590212458493,17.3295630140987,21
random_search,6,406,8,22.25329983228432,17.3295630140987,21
random_search,6,407,8,19.896662954709576,17.3295630140987,21
random_search,6,408,8,20.660107523773828,17.3295630140987,21
random_search,6,409,8,18.460232526704264,17.3295630140987,21
random_search,6,410,8,18.8295630140987,17.3295630140987,21
random_search,6,411,8,20.34390889145858,17.3295630140987,21
random_search,6,412,8,20.093468988235944,17.3295630140987,21
random_search,6,413,8,20.18679622641132,17.3295630140987,21
random_search,6,414,8,19.802172886644268,17.3295630140987,21
random_search,6,415,8,19.524845673131658,17.3295630140987,21
random_search,6,416,8,19.340967364599088,17.3295630140987,21
random_search,6,417,8,20.295829710142186,17.3295630140987,21
random_search,6,418,8,20.533907960581374,17.3295630140987,21
random_search,6,419,8,18.563818169698585,17.3295630140987,21
random_search,6,420,8,19.97484176581315,17.3295630140987,21
random_search,6,421,8,22.021347195933174,17.3295630140987,21
random_search,6,422,8,22.031300056749533,17.3295630140987,21
random_search,6,423,8,19.94928556845359,17.3295630140987,21
random_search,6,424,8,20.949545416973503,17.3295630140987,21
random_search,6,425,8,20.754723699099138,17.3295630140987,21
random_search,6,426,8,21.599999999999998,17.3295630140987,21
random_search,6,427,8,21.661706725018234,17.3295630140987,21
random_search,6,428,8,19.461324772583616,17.3295630140987,21
random_search,6,429,8,19.0,17.3295630140987,21
random_search,6,430,8,20.992838827718412,17.3295630140987,21
random_search,6,431,8,21.549444375840398,17.3295630140987,21
random_search,6,432,8,20.629705854077837,17.3295630140987,21
random_search,6,433,8,20.239607805437114,17.3295630140987,21
random_search,6,434,8,23.0554305086342,17.3295630140987,21
random_search,6,435,8,21.86124969497314,17.3295630140987,21
random_search,6,436,8,19.769693845669906,17.3295630140987,21
random_search,6,437,8,19.87840487520902,17.3295630140987,21
random_search,6,438,8,19.00554700852678,17.3295630140987,21
random_search,6,439,8,21.57156333832011,17.3295630140987,21
random_search,6,440,8,19.983266665599963,17.3295630140987,21
random_search,6,441,8,20.708607914449797,17.3295630140987,21
random_search,6,442,8,20.795829710142186,17.3295630140987,21
random_search,6,443,8,22.995451410656816,17.3295630140987,21
random_search,6,444,8,19.43095064303001,17.3295630140987,21
random_search,6,445,8,20.53072757526625,17.3295630140987,21
random_search,6,446,8,19.488409872672513,17.3295630140987,21
random_search,6,447,8,21.83721152139079,17.3295630140987,21
random_search,6,448,8,20.761249694973138,17.3295630140987,21
random_search,6,449,8,19.59666295470958,17.3295630140987,21
random_search,6,450,9,20.672004514666934,17.3295630140987,21
random_search,6,451,9,24.282461550347975,17.3295630140987,21
random_search,6,452,9,20.04928556845359,17.3295630140987,21
random_search,6,453,9,20.629705854077837,17.3295630140987,21
random_search,6,454,9,22.082207001484488,17.3295630140987,21
random_search,6,455,9,22.609243436828812,17.3295630140987,21
random_search,6,456,9,22.732380757938117,17.3295630140987,21
random_search,6,457,9,19.429705854077834,17.3295630140987,21
random_search,6,458,9,20.193737745050925,17.3295630140987,21
random_search,6,459,9,20.36397674405503,17.3295630140987,21
random_search,6,460,9,21.449444375840397,17.3295630140987,21
random_search,6,461,9,21.30199920063936,17.3295630140987,21
random_search,6,462,9,20.560107523773826,17.3295630140987,21
random_search,6,463,9,20.38806130178211,17.3295630140987,21
random_search,6,464,9,18.76023252670426,17.3295630140987,21
random_search,6,465,9,20.660107523773828,17.3295630140987,21
random_search,6,466,9,20.95472369909914,17.3295630140987,21
random_search,6,467,9,19.673320053068153,17.3295630140987,21
random_search,6,468,9,20.761706725018236,17.3295630140987,21
random_search,6,469,9,19.49373774505092,17.3295630140987,21
random_search,6,470,9,21.9591260281974,17.3295630140987,21
